Municípios 	Código 	Gentílico 	População 2010 	Área da unidade territorial 2015 (km²) 	Densidade demográfica 2010 (hab/km²) 	Série revisada - Valor adicionado bruto Total, a preços correntes
Aceguá 	4300034 	aceguaense 	4.394 	1.547,96 	2,8 	170.132
Água Santa 	4300059 	água-santense 	3.722 	291,90 	12,8 	220.083
Agudo 	4300109 	agudense 	16.722 	536,11 	31,2 	326.991
Ajuricaba 	4300208 	ajuricabense 	7.255 	323,24 	22,4 	188.838
Alecrim 	4300307 	alecrinense 	7.045 	316,74 	22,4 	81.068
Alegrete 	4300406 	alegretense 	77.653 	7.803,95 	10,0 	1.407.285
Alegria 	4300455 	alegriense 	4.301 	172,69 	24,9 	70.732
Almirante Tamandaré do Sul 	4300471 	tamandarense 	2.067 	265,37 	7,8 	99.676
Alpestre 	4300505 	alpestrense 	8.027 	324,64 	24,7 	106.370
Alto Alegre 	4300554 	alto-alegrense 	1.848 	114,45 	16,2 	54.270
Alto Feliz 	4300570 	alto-felizense 	2.917 	78,84 	36,8 	54.277
Alvorada 	4300604 	alvoradense 	195.673 	71,31 	2.743,9 	1.830.456
Amaral Ferrador 	4300638 	amaralense 	6.353 	506,46 	12,5 	80.270
Ametista do Sul 	4300646 	ametistense 	7.323 	93,49 	78,3 	68.587
André da Rocha 	4300661 	andré-rochense 	1.216 	324,33 	3,8 	98.204
Anta Gorda 	4300703 	anta-gordense 	6.073 	242,96 	25,0 	134.152
Antônio Prado 	4300802 	pradense 	12.833 	347,62 	36,9 	324.227
Arambaré 	4300851 	arambarense 	3.693 	519,12 	7,1 	100.446
Araricá 	4300877 	arariquense 	4.864 	35,15 	137,8 	105.922
Aratiba 	4300901 	aratibense 	6.565 	342,50 	19,2 	736.887
Arroio do Meio 	4301008 	arroio-meense 	18.783 	157,96 	118,9 	725.079
Arroio do Padre 	4301073 	arroio padrense 	2.730 	124,32 	22,0 	38.905
Arroio do Sal 	4301057 	arroio-salense 	7.740 	120,91 	64,0 	142.292
Arroio do Tigre 	4301206 	tigrense 	12.648 	316,51 	39,7 	278.288
Arroio dos Ratos 	4301107 	ratense 	13.606 	425,93 	31,9 	163.557
Arroio Grande 	4301305 	arroio-grandense 	18.470 	2.513,60 	7,4 	423.839
Arvorezinha 	4301404 	arvorezinhense 	10.225 	271,64 	37,6 	171.316
Augusto Pestana 	4301503 	augusto-pestanense 	7.096 	347,72 	20,4 	221.927
Áurea 	4301552 	aurense 	3.665 	158,29 	23,2 	67.033
Bagé 	4301602 	bageense 	116.794 	4.093,58 	28,5 	1.879.909
Balneário Pinhal 	4301636 	pinhalense 	10.856 	102,25 	104,6 	143.600
Barão 	4301651 	baronense 	5.741 	124,56 	46,1 	176.801
Barão de Cotegipe 	4301701 	cotegipense 	6.529 	260,21 	25,1 	135.301
Barão do Triunfo 	4301750 	baronense 	7.018 	436,40 	16,1 	89.331
Barra do Guarita 	4301859 	barra-guaritense 	3.089 	63,37 	48,0 	33.249
Barra do Quaraí 	4301875 	barrense 	4.012 	1.054,45 	3,8 	128.996
Barra do Ribeiro 	4301909 	barrense 	12.572 	728,95 	17,3 	203.120
Barra do Rio Azul 	4301925 	barra-azulense 	2.003 	147,14 	13,6 	36.583
Barra Funda 	4301958 	barra-fundense 	2.367 	60,03 	39,4 	87.451
Barracão 	4301800 	barraconense 	5.357 	516,73 	10,4 	139.733
Barros Cassal 	4302006 	barros-cassalense 	11.133 	648,90 	17,2 	137.124
Benjamin Constant do Sul 	4302055 	benjaminense 	2.307 	132,40 	17,4 	23.064
Bento Gonçalves 	4302105 	bento-gonçalvense 	107.278 	274,07 	280,9 	4.009.349
Boa Vista das Missões 	4302154 	boa-vistense 	2.114 	194,82 	10,9 	111.690
Boa Vista do Buricá 	4302204 	boa-vistense 	6.574 	108,73 	60,5 	139.075
Boa Vista do Cadeado 	4302220 	cadeadense 	2.441 	700,53 	3,5 	171.665
Boa Vista do Incra 	4302238 	boa vistense do incra 	2.425 	503,47 	4,8 	136.707
Boa Vista do Sul 	4302253 	boavistense 	2.776 	92,93 	29,4 	53.653
