430003;ACEGUÁ;0.687;0.541;0.852;0.703
430005;ÁGUA SANTA;0.750;0.590;0.850;0.840
430010;AGUDO;0.694;0.524;0.847;0.752
430020;AJURICABA;0.753;0.658;0.850;0.763
430030;ALECRIM;0.672;0.522;0.852;0.683
430040;ALEGRETE;0.740;0.664;0.849;0.720
430045;ALEGRIA;0.695;0.572;0.818;0.717
430047;ALMIRANTE TAMANDARÉ DO SUL;0.740;0.669;0.828;0.732
430050;ALPESTRE;0.671;0.543;0.795;0.700
430055;ALTO ALEGRE;0.747;0.642;0.859;0.756
430057;ALTO FELIZ;0.734;0.603;0.886;0.740
430060;ALVORADA;0.699;0.564;0.874;0.694
430063;AMARAL FERRADOR;0.624;0.457;0.802;0.664
430064;AMETISTA DO SUL;0.682;0.562;0.809;0.697
430066;ANDRÉ DA ROCHA;0.720;0.605;0.837;0.738
430070;ANTA GORDA;0.740;0.630;0.868;0.742
430080;ANTÔNIO PRADO;0.758;0.671;0.835;0.777
430085;ARAMBARÉ;0.691;0.570;0.833;0.694
430087;ARARICÁ;0.679;0.547;0.824;0.696
430090;ARATIBA;0.772;0.670;0.856;0.801
430100;ARROIO DO MEIO;0.769;0.706;0.860;0.750
430105;ARROIO DO SAL;0.740;0.649;0.844;0.740
430107;ARROIO DO PADRE;0.669;0.461;0.860;0.756
430110;ARROIO DOS RATOS;0.698;0.583;0.833;0.700
430120;ARROIO DO TIGRE;0.707;0.589;0.848;0.708
430130;ARROIO GRANDE;0.657;0.522;0.807;0.673
430140;ARVOREZINHA;0.694;0.575;0.817;0.713
430150;AUGUSTO PESTANA;0.743;0.621;0.847;0.779
430155;ÁUREA;0.707;0.588;0.841;0.715
430160;BAGÉ;0.740;0.647;0.848;0.739
430163;BALNEÁRIO PINHAL;0.696;0.567;0.836;0.710
430165;BARÃO;0.748;0.652;0.836;0.767
430170;BARÃO DE COTEGIPE;0.719;0.593;0.842;0.745
430175;BARÃO DO TRIUNFO;0.610;0.428;0.821;0.645
430180;BARRACÃO;0.710;0.568;0.885;0.711
430185;BARRA DO GUARITA;0.734;0.672;0.845;0.696
430187;BARRA DO QUARAÍ;0.662;0.548;0.802;0.659
